date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:49	149055/149055	U-----	200	untouched ('')	image/png	etag:%22948721b3ce458f3f47da2dcb5fcbcb4c%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036d46fa92a90052220e3df_image-1-product-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036d46fa92a90052220e3df_image-1-product-esports-template.png	(from https://esportstemplate.webflow.io/home)
19:12:49	200598/200598	U-----	200	untouched ('')	image/png	etag:%22d73240a8cfae1dc98c440e7fac27134a%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036d42f3249552a354d89d3_image-2-product-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036d42f3249552a354d89d3_image-2-product-esports-template.png	(from https://esportstemplate.webflow.io/home)
19:12:49	98582/98582	U-----	200	untouched ('')	image/png	etag:%2280e77692d07c7d1ee7ed1fd36044488e%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036d3c7c64ae1d8a32a13a5_image-3-product-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036d3c7c64ae1d8a32a13a5_image-3-product-esports-template.png	(from https://esportstemplate.webflow.io/home)
19:12:50	193305/193305	U-----	200	untouched ('')	image/png	etag:%228c15b108bd9baf3f51c84c8489a13851%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036d372de6bc4d12a2e7a69_image-4-product-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036d372de6bc4d12a2e7a69_image-4-product-esports-template.png	(from https://esportstemplate.webflow.io/home)
19:12:50	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:50%20GMT	https://esportstemplate.webflow.io/team/kevin-cannon	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/kevin-cannon	(from https://esportstemplate.webflow.io/about)
19:12:50	127448/127448	U-----	200	untouched ('')	image/jpeg	etag:%221b83e464cb4556e9b6b4a0690194ae7c%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6037d6576c6ef2d1f43c8dc2_image-about-hero-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6037d6576c6ef2d1f43c8dc2_image-about-hero-esports-template.jpg	(from https://esportstemplate.webflow.io/about)
19:12:50	70593/70593	U-----	200	untouched ('')	image/jpeg	etag:%223a17de4f66d3828b8b9b11bd66d898f1%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6037dc923324592368cfeede_image-1-story-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6037dc923324592368cfeede_image-1-story-esports-template.jpg	(from https://esportstemplate.webflow.io/about)
19:12:50	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:50%20GMT	https://esportstemplate.webflow.io/team/dan-clark	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/dan-clark	(from https://esportstemplate.webflow.io/about)
19:12:50	123316/123316	U-----	200	untouched ('')	image/jpeg	etag:%22513f409211ed271431f3d93d33cfb916%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6037e2632f19c34e9c19de0c_image-1-about-start-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6037e2632f19c34e9c19de0c_image-1-about-start-esports-template.jpg	(from https://esportstemplate.webflow.io/about)
19:12:50	141520/141520	U-----	200	untouched ('')	image/jpeg	etag:%22d42bc0db5493a3f00ded25e01f3a7832%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6037dc93ca4179a21fa05fe1_image-2-story-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6037dc93ca4179a21fa05fe1_image-2-story-esports-template.jpg	(from https://esportstemplate.webflow.io/about)
19:12:51	129732/129732	U-----	200	untouched ('')	image/jpeg	etag:%229ee9a5e1f566734e8cbb1a8f2f2d8ec1%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/6037e263ffd5a1c8b428c8db_image-2-about-start-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/6037e263ffd5a1c8b428c8db_image-2-about-start-esports-template.jpg	(from https://esportstemplate.webflow.io/about)
19:12:51	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:50%20GMT	https://esportstemplate.webflow.io/team/matt-sanders	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/matt-sanders	(from https://esportstemplate.webflow.io/team)
19:12:51	181113/181113	U-----	200	untouched ('')	image/png	etag:%22bf605780b4b867107c5af416da4e8888%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036bd6a50d8f8df3aa7fcd3_image-1-team-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036bd6a50d8f8df3aa7fcd3_image-1-team-esports-template.png	(from https://esportstemplate.webflow.io/about)
19:12:51	169325/169325	U-----	200	untouched ('')	image/png	etag:%22d53681cbcc3099d156c65d4a3f17db21%22	https://assets-global.website-files.com/60358955e12a8aa033b99eed/6036bd87481a9084b4f53e3c_image-2-team-esports-template.png	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8aa033b99eed/6036bd87481a9084b4f53e3c_image-2-team-esports-template.png	(from https://esportstemplate.webflow.io/about)
19:12:51	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:51%20GMT	https://esportstemplate.webflow.io/team/aaron-white	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/aaron-white	(from https://esportstemplate.webflow.io/team)
